Traceback (most recent call last):
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 1016, in _bootstrap_inner
    self.run()
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 953, in run
    self._target(*self._args, **self._kwargs)
  File "/home/daimi/Desktop/demo/chatglm/demo_chat.py", line 36, in text_to_audio
    audio.send_data(conn, comunication.AUDIO, res)
  File "/home/daimi/Desktop/demo/comunication/comunication.py", line 34, in send_data
    conn.sendall(struct.pack('!I', data_type))
OSError: [Errno 9] Bad file descriptor

2024-08-04 18:11:00,623 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:11:02,378 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:11:04,423 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:16:27,019 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 18:17:30,300 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52211).wav has been deleted. |  remove_file
2024-08-04 18:17:40,464 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 18:17:40,464 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52213).wav has been deleted. |  remove_file
2024-08-04 18:17:45,997 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:17:48,011 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:17:50,490 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:27:13,065 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52469).wav has been deleted. |  remove_file
2024-08-04 18:27:20,437 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 18:27:20,437 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52475).wav has been deleted. |  remove_file
2024-08-04 18:27:23,443 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:27:25,522 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:27:27,633 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:40:13,844 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52713).wav has been deleted. |  remove_file
2024-08-04 18:40:22,239 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 18:40:22,239 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52729).wav has been deleted. |  remove_file
2024-08-04 18:40:25,305 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:40:27,211 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:40:29,391 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:43:22,316 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52794).wav has been deleted. |  remove_file
2024-08-04 18:43:31,163 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 18:43:31,163 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52795).wav has been deleted. |  remove_file
2024-08-04 18:43:34,167 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:43:36,147 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:43:38,199 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:44:43,967 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52808).wav has been deleted. |  remove_file
2024-08-04 18:45:12,815 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52811).wav has been deleted. |  remove_file
2024-08-04 18:46:01,174 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52817).wav has been deleted. |  remove_file
2024-08-04 18:46:03,674 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52820).wav has been deleted. |  remove_file
2024-08-04 18:48:26,419 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52848).wav has been deleted. |  remove_file
2024-08-04 18:50:08,468 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52855).wav has been deleted. |  remove_file
2024-08-04 19:20:43,867 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 19:21:00,886 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53305).wav has been deleted. |  remove_file
2024-08-04 19:21:09,055 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 19:21:09,055 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53307).wav has been deleted. |  remove_file
